YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING
2014/15,8th Finals,1,Juventus FC    ,2,2,0,0,5,1,4,WW,46%,38%,31%,62%,38%,2.08,OVERALL,1,Real Madrid,24,18.7,210.0,55.7,88.1,12.8,7.24
2014/15,8th Finals,2,FC Barcelona    ,2,2,0,0,3,1,2,WW,46%,54%,0%,85%,69%,3.23,OVERALL,2,Barcelona  ,32,14.8,181.0,58.6,88.2,10.1,7.22
2014/15,8th Finals,3,FC Bayern München  ,2,1,1,0,7,0,7,DW,50%,42%,17%,75%,67%,3.83,OVERALL,3,Chelsea  ,18,15.0,130.0,52.9,86.2,13.4,7.21
2014/15,8th Finals,4,FC Porto    ,2,1,1,0,5,1,4,DW,50%,50%,0%,92%,58%,3.33,OVERALL,4,Atletico Madrid,15,12.6,282.0,45.3,75.8,24.6,7.11
2014/15,8th Finals,5,Real Madrid CF  ,2,1,0,1,5,4,1,WL,58%,42%,8%,67%,50%,2.75,OVERALL,5,Arsenal  ,18,12.6,141.0,55.6,84.9,16.6,7.1
2014/15,8th Finals,6,Arsenal FC    ,2,1,0,1,3,3,0,LW,40%,50%,20%,80%,50%,3.0,OVERALL,6,Bayern Munich,33,17.2,242.0,60.7,87.9,12.0,7.1
2014/15,8th Finals,7,AS Monaco FC  ,2,1,0,1,3,3,0,WL,60%,10%,60%,30%,10%,1.2,OVERALL,7,FC Porto,25,12.9,191.0,55.7,82.3,15.1,7.09
2014/15,8th Finals,8,Club Atlético de Madrid,2,1,0,1,1,1,0,LW,70%,10%,40%,40%,30%,2.0,OVERALL,8,Borussia Dortmund,15,14.6,40.0,52.1,83.1,13.9,7.0
2014/15,8th Finals,9,Bayer 04 Leverkusen  ,2,1,0,1,1,1,0,WL,40%,30%,40%,50%,40%,2.2,OVERALL,9,Juventus  ,17,12.7,250.0,54.1,84.1,17.4,6.94
2014/15,8th Finals,10,FC Schalke 04  ,2,1,0,1,4,5,-1,LW,13%,63%,25%,88%,50%,4.0,OVERALL,10,Paris Saint-Germain,13,11.9,141.0,49.4,87.6,12.8,6.94
2014/15,8th Finals,11,Chelsea FC    ,2,0,2,0,3,3,0,DD,38%,63%,0%,88%,50%,3.25,OVERALL,11,Anderlecht  ,8,11.8,100.0,43.4,80.0,10.0,6.92
2014/15,8th Finals,12,Paris Saint-Germain FC  ,2,0,2,0,3,3,0,DD,20%,70%,10%,80%,50%,2.9,OVERALL,12,Monaco  ,7,9.7,220.0,44.9,74.9,16.2,6.92
2014/15,8th Finals,13,FC Basel 1893  ,2,0,1,1,1,5,-4,DL,25%,38%,38%,63%,38%,2.63,OVERALL,13,Bayer Leverkusen,8,13.9,192.0,51.6,71.7,23.8,6.91
2014/15,8th Finals,14,FC Shakhtar Donetsk  ,2,0,1,1,0,7,-7,DL,50%,25%,50%,63%,50%,3.25,OVERALL,14,Shakhtar Donetsk,15,8.9,201.0,47.4,79.3,11.5,6.9
2014/15,8th Finals,15,Manchester City FC  ,2,0,0,2,1,3,-2,LL,13%,63%,25%,75%,50%,2.63,OVERALL,15,Sporting CP,12,17.2,151.0,49.2,79.9,15.2,6.81
2014/15,8th Finals,16,BVB 09 Borussia Dortmund,2,0,0,2,1,5,-4,LL,38%,38%,25%,100%,63%,3.0,OVERALL,16,Benfica  ,2,11.7,143.0,51.1,75.8,19.3,6.8
2014/15,Quarter Finals,1,FC Barcelona    ,2,2,0,0,5,1,4,WW,46%,54%,0%,85%,69%,3.23,OVERALL,17,Athletic Bilbao,5,13.5,170.0,50.3,73.7,21.8,6.77
2014/15,Quarter Finals,2,Juventus FC    ,2,1,1,0,1,0,1,WD,46%,38%,31%,62%,38%,2.08,OVERALL,18,Ajax  ,8,11.2,141.0,52.8,87.5,7.8,6.77
2014/15,Quarter Finals,3,Real Madrid CF  ,2,1,1,0,1,0,1,DW,58%,42%,8%,67%,50%,2.75,OVERALL,19,Schalke 04,13,14.3,110.0,50.8,83.9,13.8,6.75
2014/15,Quarter Finals,4,FC Bayern München  ,2,1,0,1,7,4,3,LW,50%,42%,17%,75%,67%,3.83,OVERALL,20,Manchester City,10,12.0,193.0,48.4,84.4,12.8,6.75
2014/15,Quarter Finals,5,FC Porto    ,2,1,0,1,4,7,-3,WL,50%,50%,0%,92%,58%,3.33,OVERALL,21,Olympiacos  ,10,11.3,100.0,47.8,81.6,14.3,6.75
2014/15,Quarter Finals,6,Club Atlético de Madrid,2,0,1,1,0,1,-1,DL,70%,10%,40%,40%,30%,2.0,OVERALL,22,Liverpool  ,5,13.0,81.0,49.5,84.7,13.2,6.74
2014/15,Quarter Finals,7,AS Monaco FC  ,2,0,1,1,0,1,-1,LD,60%,10%,60%,30%,10%,1.2,OVERALL,23,Zenit St.,Petersburg,4.0,10.0,150.0,53.2,78.9,19.2
