YEAR,ROUND,RANK ER,TEAM ER,MP,W,D,L,GF,GA,GD,Last 5,CS%,BTTS%,FTS%,Over 1.5+ %,Over 2.5+ %,AVG,CATEGORIES 1,RANK DS,TEAM DS,GOALS,SHOTS,YELLOW CARD,RED CARD,POSSESSION,PASS%,RATING,CATEGORIES 2,RANK SC,NAME SC,TEAM SC,MP SC,G,GOALS RATIO,CATEGORIES 3,RANK A,NAME A,TEAM A,MP A,A,ASSISTS RATIO
2011/12,8th Finals,1,FC Barcelona,2,2,0,0,10,2,8,WW,42,50,17,83,75,3.75,OVERALL,1,Chelsea,25,14.8,31,1,47.6,82.5,7.19,SCORERS,1,Lionel Messi,FC Barcelona,11,14,1.27,ASSISTS,1,Lionel Messi,FC Barcelona,11,9,0.82
2011/12,8th Finals,2,Real Madrid,2,1,1,0,5,2,3,DW,50,50,0,92,75,3.66,OVERALL,2,Real Madrid,35,19.1,22,1,56.1,85.9,7.15,SCORERS,2,Mario Gomez,Bayern Munich,11,12,1.09,ASSISTS,2,Karim Benzema,Real Madrid,10,5,0.5
2011/12,8th Finals,3,Bayern Munich,2,1,0,1,7,1,6,LW,38,46,15,92,38,2.85,OVERALL,3,FC Barcelona,35,19.5,17,0,68.2,90.5,7.15,SCORERS,3,Cristiano Ronaldo,Real Madrid,10,10,1.0,ASSISTS, ,Zlatan Ibrahimović,AC Milan,8,5,0.62
2011/12,8th Finals,4,Chelsea,2,1,0,1,5,4,1,LW,38,62,0,83,62,3.47,OVERALL,4,Bayern Munich,26,19.1,27,1,55.1,86.2,7.11,SCORERS,4,Karim Benzema,Real Madrid,10,7,0.7,ASSISTS, ,Isaac Cuenca,FC Barcelona,8,5,0.62
2011/12,8th Finals,5,Milan AC,2,1,0,1,4,3,1,WL,40,50,20,80,60,3.0,OVERALL,5,Valencia CF,12,16.7,11,0,58.5,85.1,7.04,SCORERS,5,Didier Drogba ,Chelsea,8,6,0.75,ASSISTS, ,Kaká,Real Madrid,7,5,0.71
2011/12,8th Finals,6,SL Benfica,2,1,0,1,4,3,1,LW,40,52,30,70,30,2.3,OVERALL,6,Manchester United,11,14.5,8,1,59.2,84.5,7.0,SCORERS,6,Edinson Cavani,SSC Napoli,8,5,0.62,ASSISTS, ,Franck Ribéry,Bayern Munich,11,5,0.45
2011/12,8th Finals,7,Marseille,2,1,0,1,2,2,0,WL,40,20,50,50,30,1.9,OVERALL,7,Lyon,10,17.8,15,0,50.9,82.1,7.0,SCORERS, ,Seydou Doumbia,CSKA Moscow,7,5,0.71,ASSISTS,7,Costas Charalambides,APOEL Nicosie,10,4,0.4
2011/12,8th Finals,8,APOEL Nicosie,2,1,0,1,1,1,0,LW,20,50,40,70,40,2.4,OVERALL,8,Ajax Amsterdam,6,17.0,6,0,55.0,87.1,6.95,SCORERS, ,Alexander Frei,FC Basel,7,5,0.71,ASSISTS, ,Cristiano Ronaldo,Real Madrid,10,4,0.4
2011/12,8th Finals,9,Inter Milan,2,1,0,1,2,2,0,LW,13,63,25,63,50,2.35,OVERALL,9,Marseille,9,11.4,19,3,48.7,76.9,6.92,SCORERS, ,Bafétimbi Gomis,Lyon,7,5,0.71,ASSISTS, ,Fernando Torres,Chelsea,8,4,0.5
2011/12,8th Finals,10,Lyon,2,1,0,1,1,1,0,WL,50,38,63,50,25,2.25,OVERALL,10,Olympiakos,8,13.2,11,0,46.0,73.5,6.92,SCORERS, ,Zlatan Ibrahimović,AC Milan,8,5,0.62,ASSISTS, ,Nicolás Gaitán,SL Benfica,10,4,0.4
2011/12,8th Finals,11,SSC Napoli,2,1,0,1,4,5,-1,WL,25,75,0,100,50,3.13,OVERALL,11,Zenit St Petersburg,10,15.4,16,1,52.4,75.9,6.91,SCORERS, ,José Callejón,Real Madrid,4,5,1.25,ASSISTS, ,Toni Kroos,Bayern Munich,13,4,0.31
2011/12,8th Finals,12,Arsenal,2,1,0,1,3,4,-1,LW,38,50,25,75,63,2.5,OVERALL,12,SSC Napoli,14,12.1,19,1,41.7,76.3,6.88,SCORERS, ,Roman Shirokov,Zenit St Petersburg,8,5,0.62,ASSISTS, ,Ezequiel Lavezzi,SSC Napoli,8,4,0.5
2011/12,8th Finals,13,Zenit St Petersbourg,2,1,0,1,3,4,-1,WL,38,50,38,63,50,2.38,OVERALL,13,Inter Milan,10,12.5,16,0,47.0,77.6,6.87,SCORERS, ,Roberto Soldado,Valencia CF,6,5,0.83,ASSISTS, ,Marcelo,Real Madrid,11,4,0.36
2011/12,8th Finals,14,FC Basel,2,1,0,1,1,7,-6,WL,13,75,25,88,63,3.6,OVERALL,14,Arsenal,10,9.1,17,0,53.3,79.7,6.85,SCORERS,14,André Ayew,Marseille,10,4,0.4,ASSISTS, ,Mesut Özil,Real Madrid,11,4,0.36
2011/12,8th Finals,15,CSKA Moscow,2,0,1,1,2,5,-3,DL,25,63,25,88,63,2.75,OVERALL,15,Trabzonspor,3,10.2,15,0,49.6,78.9,6.85,SCORERS, ,Óscar Cardozo,SL Benfica,10,4,0.4,ASSISTS,15,Aly Cissokho,Lyon,8,3,0.38
2011/12,8th Finals,16,Bayer Leverkusen,2,0,0,2,2,10,-8,LL,13,75,13,100,63,3.5,OVERALL,16,AC Milan,16,13.8,24,1,48.5,79.8,6.83,SCORERS, ,Hulk,FC Porto,10,4,0.4,ASSISTS, ,Dani Alves,FC Barcelona,12,3,0.25
2011/12,Quarter Finals,1,Real Madrid,2,2,0,0,8,2,6,WW,50,50,0,92,75,3.66,OVERALL,17,SL Benfica,13,15.7,23,2,48.6,78.2,6.83,SCORERS, ,Manduca,APOEL Nicosie,10,4,0.4,ASSISTS, ,Alan Dzagoev,CSKA Moscow,8,3,0.38
2011/12,Quarter Finals,2,Bayern Munich,2,2,0,0,4,0,4,WW,38,46,15,92,38,2.85,OVERALL,18,CSKA Moscow,11,11.3,14,1,46.8,76.5,6.83,SCORERS, ,Pedro,FC Barcelona,12,4,0.33,ASSISTS, ,Jonas,Valencia CF,6,3,0.5
2011/12,Quarter Finals,3,FC Barcelona,2,1,1,0,3,1,2,DW,42,50,17,83,75,3.75,OVERALL,19,FC Porto,7,21.3,17,1,53.0,78.1,6.82,SCORERS, ,Arjen Robben,Bayern Munich,8,4,0.5,ASSISTS, ,Frank Lampard,Chelsea,13,3,0.23
2011/12,Quarter Finals,4,Chelsea,2,1,1,0,3,1,2,DW,38,62,0,83,62,3.47,OVERALL,20,Manchester City,9,16.0,10,0,58.0,88.3,6.81,SCORERS, ,Robin van Persie,Arsenal,8,4,0.5,ASSISTS, ,Mata,Chelsea,13,3,0.23
2011/12,Quarter Finals,5,Milan AC,2,0,1,1,1,3,-2,DL,40,50,20,80,60,3.0,OVERALL,21,Shakhtar Donetsk,6,15.0,15,2,52.1,81.0,6.81,SCORERS,21,Aílton,APOEL Nicosie,10,3,0.3,ASSISTS, ,Vágner Love,CSKA Moscow,8,3,0.38
2011/12,Quarter Finals,6,SL Benfica,2,0,1,1,1,3,-2,LW,40,52,30,70,30,2.3,OVERALL,22,Lille,6,16.2,15,0,55.5,82.3,6.8,SCORERS, ,Kevin-Prince Boateng,AC Milan,10,3,0.3,ASSISTS,22,Morgan Amalfitano,Marseille,10,2,0.2
2011/12,Quarter Finals,7,Marseille,2,0,0,2,0,4,-4,LL,40,20,50,50,30,1.9,OVERALL,23,Borussia Dortmund,6,14.0,7,0,51.8,74.1,6.71,SCORERS,,David Villa,FC Barcelona,9,3,0.33,ASSISTS, ,Holger Badstuber,Bayern Munich,8,2,0.25
2011/12,Quarter Finals,8,APOEL Nicosie,2,0,0,2,2,8,-6,LL,20,50,40,70,40,2.4,OVERALL,24,FC Basel,12,11.0,16,1,48.9,81.6,6.7,SCORERS,,Fernando Torres,Chelsea,8,3,0.38,ASSISTS, ,Michael Ballack,Bayer Leverkusen,5,2,0.4
2011/12,Semi Finals,1,Chelsea,2,1,1,0,3,2,1,WD,38,62,0,83,62,3.47,OVERALL,25,Bayer Leverkusen,10,11.4,20,0,44.9,76.1,6.64,SCORERS,,Fabian Frei,FC Basel,8,3,0.38,ASSISTS, ,Mario Balotelli,Manchester City,6,2,0.33
2011/12,Semi Finals,2,Bayern Munich,2,1,0,1,3,3,0,WL,38,46,15,92,38,2.85,OVERALL,26,APOEL Nicosia,9,6.1,25,1,41.1,72.4,6.58,SCORERS,,Gonzalo Higuaín,Real Madrid,8,3,0.38,ASSISTS, ,Bruno César,SL Benfica,10,2,0.2
2011/12,Semi Finals,3,Real Madrid,2,1,0,1,3,3,0,LW,50,50,0,92,75,3.66,OVERALL,27,KRC Genk,2,10.0,9,0,40.1,78.7,6.56,SCORERS,,Iniesta,FC Barcelona,10,3,0.3,ASSISTS, ,Sergio Busquets,FC Barcelona,12,2,0.17
2011/12,Semi Finals,4,FC Barcelona,2,0,1,1,2,3,-1,LD,42,50,17,83,75,3.75,OVERALL,28,Viktoria Plzen,4,11.5,15,1,39.1,76.5,6.55,SCORERS,,Jonas,Valencia CF,6,3,0.5,ASSISTS, ,Edinson Cavani,SSC Napoli,8,2,0.25
2011/12,Finals,1,Chelsea,1,1,0,0,1,1,0,W,38,62,0,83,62,3.47,OVERALL,29,BATE Borisov,3,10.8,8,0,41.4,78.0,6.41,SCORERS, ,Kaká,Real Madrid,7,3,0.43,ASSISTS, ,Cesc Fàbregas,FC Barcelona,10,2,0.2
