YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING
2015/16,8th Finals,11,FC Dynamo Kyiv  ,2,0,1,1,1,3,-2,LD,63%,38%,25%,63%,38%,2.0,OVERALL,11,Manchester City,18,13.0,150.0,48.5,82.6,13.0,6.92
2015/16,8th Finals,12,Chelsea FC    ,2,0,0,2,2,4,-2,LL,50%,50%,13%,88%,75%,2.75,OVERALL,12,PSV Eindhoven,8,9.0,182.0,47.3,78.6,15.8,6.91
2015/16,8th Finals,13,KAA Gent    ,2,0,0,2,2,4,-2,LL,13%,75%,13%,75%,63%,2.63,OVERALL,13,Zenit St.,Petersburg,14.0,10.4,232.0,44.3,77.3,16.0
2015/16,8th Finals,14,FK Zenit St. Petersburg,2,0,0,2,1,3,-2,LL,25%,63%,13%,88%,63%,2.88,OVERALL,14,Wolfsburg  ,15,12.7,180.0,48.3,81.6,12.8,6.9
2015/16,8th Finals,15,Arsenal FC    ,2,0,0,2,1,5,-4,LL,38%,50%,13%,100%,75%,3.5,OVERALL,15,Benfica  ,15,13.4,281.0,49.6,80.0,14.0,6.9
2015/16,8th Finals,16,AS Roma    ,2,0,0,2,0,4,-4,LL,13%,63%,38%,88%,50%,3.88,OVERALL,16,Sevilla  ,8,13.7,70.0,51.4,84.2,16.3,6.78
2015/16,Quarter Finals,1,FC Bayern München  ,2,1,1,0,3,2,1,WD,42%,42%,17%,83%,67%,3.42,OVERALL,17,Lyon  ,5,17.7,131.0,54.2,83.2,14.7,6.76
2015/16,Quarter Finals,2,Manchester City FC  ,2,1,1,0,3,2,1,DW,25%,58%,33%,58%,58%,2.5,OVERALL,18,Dynamo Kyiv,9,11.9,180.0,50.4,81.0,13.8,6.76
2015/16,Quarter Finals,3,Club Atlético de Madrid,2,1,0,1,3,2,1,LW,62%,38%,23%,69%,38%,1.92,OVERALL,19,Manchester United,7,14.2,110.0,58.9,84.1,15.7,6.75
2015/16,Quarter Finals,4,Real Madrid CF  ,2,1,0,1,3,2,1,LW,77%,15%,23%,69%,31%,2.62,OVERALL,20,Borussia M.Gladbach,8,14.7,110.0,48.8,81.0,11.2,6.74
2015/16,Quarter Finals,5,FC Barcelona    ,2,1,0,1,2,3,-1,WL,30%,60%,10%,100%,50%,3.0,OVERALL,21,Gent  ,10,10.5,182.0,52.2,80.7,12.3,6.74
2015/16,Quarter Finals,6,VfL Wolfsburg    ,2,1,0,1,2,3,-1,WL,50%,30%,20%,80%,40%,2.6,OVERALL,22,Galatasaray  ,6,14.5,130.0,48.7,80.7,13.7,6.7
2015/16,Quarter Finals,7,SL Benfica    ,2,0,1,1,2,3,-1,LD,20%,70%,10%,80%,70%,2.7,OVERALL,23,Roma  ,11,14.3,100.0,44.5,78.3,15.6,6.69
2015/16,Quarter Finals,8,Paris Saint-Germain FC  ,2,0,1,1,2,3,-1,DL,50%,30%,30%,70%,50%,2.4,OVERALL,24,CSKA Moscow,6,8.8,100.0,41.2,75.3,10.3,6.69
2015/16,Semi Finals,1,Real Madrid CF  ,2,1,1,0,1,0,1,DW,77%,15%,23%,69%,31%,2.62,OVERALL,25,Valencia  ,5,12.3,181.0,51.0,81.5,12.5,6.68
